date,page,performance,seo,accessibility,best_practices,lcp_ms,cls,tbt_ms
2026-09-19,homepage,35,92,87,75,8224,0.002,3532
2026-09-19,jeans,48,92,78,75,5442,0.061,1304
2026-09-19,hat-green-leopard,48,92,77,75,5435,0.043,1676
2026-09-19,hat-black-zebra,58,92,77,75,3922,0.014,1353
2026-09-19,homepage,37,92,87,75,7972,0.028,3821
2026-09-19,jeans,43,92,78,75,5599,0.061,1813
2026-09-19,hat-green-leopard,47,92,77,75,5137,0.014,1676
2026-09-19,hat-black-zebra,42,100,82,75,9448,0.014,2255
2026-09-20,homepage,36,92,87,75,7821,0.028,3433
2026-09-20,jeans,61,100,83,75,3328,0.000,1308
2026-09-20,hat-green-leopard,63,100,82,75,2885,0.000,1791
2026-09-20,hat-black-zebra,63,100,82,75,3177,0.000,1416
2026-09-20,homepage,41,92,87,75,6520,0.002,2454
2026-09-20,jeans,59,100,83,75,3359,0.000,1423
2026-09-20,hat-green-leopard,60,92,77,75,3353,0.000,1683
2026-09-20,hat-black-zebra,63,92,77,75,3175,0.000,1406
2026-09-20,homepage,38,92,87,75,6327,0.002,2826
2026-09-20,jeans,48,92,78,75,4669,0.000,1889
2026-09-20,hat-green-leopard,49,92,77,75,5113,0.000,1710
2026-09-20,hat-black-zebra,59,92,77,75,3626,0.000,1703
2026-09-20,homepage,43,92,87,75,6468,0.002,1757
2026-09-20,jeans,54,100,83,75,4245,0.000,2467
2026-09-20,hat-green-leopard,58,92,77,75,4082,0.000,1770
2026-09-20,hat-black-zebra,46,92,77,75,7912,0.000,1672
