date,total,direct,social,search,bot_adjusted
2026-08-24,172,37,130,5,0
2026-08-25,167,40,119,7,0
2026-08-26,144,39,97,7,0
2026-08-27,105,32,66,7,0
2026-08-28,105,31,68,6,0
2026-08-29,94,30,57,6,0
2026-08-30,79,31,41,6,0
2026-08-31,67,25,39,4,0
2026-09-01,72,28,40,2,0
2026-09-02,79,30,44,4,0
2026-09-03,78,30,42,4,0
2026-09-04,78,28,44,4,0
2026-09-05,78,29,44,4,0
2026-09-06,72,26,41,3,0
2026-09-07,77,25,48,3,0
2026-09-08,66,17,46,3,0
2026-09-09,55,15,40,0,0
2026-09-10,54,13,40,0,0
2026-09-11,56,19,36,0,0
2026-09-12,55,20,35,0,0
2026-09-13,61,23,38,0,0
2026-09-14,59,29,29,0,0
2026-09-15,66,37,29,0,0
2026-09-16,73,39,33,0,0
2026-09-17,83,46,36,1,1
2026-09-18,82,48,33,2,1
2026-09-19,105,47,57,1,1
2026-09-20,127,46,79,2,1
2026-09-21,135,41,92,2,1
